"COU","Country","VAR","Variable","CO2","Country of origin","YEA","Year","Value","Flag Codes","Flags"
"ITA","Italy","TNBD","Total number of doctors","TOT","Total","2005","2005",353441,,
"ITA","Italy","TNBD","Total number of doctors","TOT","Total","2006","2006",357519,,
"ITA","Italy","TNBD","Total number of doctors","TOT","Total","2007","2007",361593,,
"ITA","Italy","TNBD","Total number of doctors","TOT","Total","2008","2008",365544,,
"ITA","Italy","TNBD","Total number of doctors","TOT","Total","2009","2009",369650,,
"ITA","Italy","TNBD","Total number of doctors","TOT","Total","2010","2010",373616,,
"ITA","Italy","TNBD","Total number of doctors","TOT","Total","2011","2011",377376,,
"ITA","Italy","TNBD","Total number of doctors","TOT","Total","2012","2012",380785,,
"ITA","Italy","TNBD","Total number of doctors","TOT","Total","2013","2013",383886,,
"ITA","Italy","TNBD","Total number of doctors","TOT","Total","2014","2014",387405,,
"ITA","Italy","TNBD","Total number of doctors","TOT","Total","2015","2015",390702,,
"ITA","Italy","TNBD","Total number of doctors","TOT","Total","2016","2016",394906,,
"ITA","Italy","TNBD","Total number of doctors","TOT","Total","2017","2017",396007,,
"ITA","Italy","TNBD","Total number of doctors","TOT","Total","2018","2018",402811,,
"ITA","Italy","TNBD","Total number of doctors","TOT","Total","2019","2019",408442,,
"GRC","Greece","TNBD","Total number of doctors","TOT","Total","2000","2000",47251,,
"GRC","Greece","TNBD","Total number of doctors","TOT","Total","2001","2001",47944,,
"GRC","Greece","TNBD","Total number of doctors","TOT","Total","2002","2002",50347,,
"GRC","Greece","TNBD","Total number of doctors","TOT","Total","2003","2003",52225,,
"GRC","Greece","TNBD","Total number of doctors","TOT","Total","2004","2004",53943,,
"GRC","Greece","TNBD","Total number of doctors","TOT","Total","2005","2005",55556,,
"GRC","Greece","TNBD","Total number of doctors","TOT","Total","2006","2006",59599,,
"GRC","Greece","TNBD","Total number of doctors","TOT","Total","2007","2007",62207,,
"GRC","Greece","TNBD","Total number of doctors","TOT","Total","2008","2008",63244,,
"GRC","Greece","TNBD","Total number of doctors","TOT","Total","2009","2009",64326,,
"GRC","Greece","TNBD","Total number of doctors","TOT","Total","2010","2010",64032,,
"GRC","Greece","TNBD","Total number of doctors","TOT","Total","2011","2011",64145,,
"GRC","Greece","TNBD","Total number of doctors","TOT","Total","2012","2012",63838,,
"GRC","Greece","TNBD","Total number of doctors","TOT","Total","2013","2013",63736,,
"GRC","Greece","TNBD","Total number of doctors","TOT","Total","2014","2014",63906,,
"GRC","Greece","TNBD","Total number of doctors","TOT","Total","2015","2015",63866,,
"GRC","Greece","TNBD","Total number of doctors","TOT","Total","2016","2016",65972,,
"GRC","Greece","TNBD","Total number of doctors","TOT","Total","2017","2017",65240,,
"GRC","Greece","TNBN","Total number of nurses","TOT","Total","2005","2005",7155,,
"GRC","Greece","TNBN","Total number of nurses","TOT","Total","2006","2006",10023,,
"GRC","Greece","TNBN","Total number of nurses","TOT","Total","2007","2007",12561,,
"GRC","Greece","TNBN","Total number of nurses","TOT","Total","2008","2008",14784,,
"GRC","Greece","TNBN","Total number of nurses","TOT","Total","2009","2009",16121,,
"GRC","Greece","TNBN","Total number of nurses","TOT","Total","2010","2010",16514,,
"GRC","Greece","TNBN","Total number of nurses","TOT","Total","2011","2011",16906,,
"GRC","Greece","TNBN","Total number of nurses","TOT","Total","2012","2012",17074,,
"GRC","Greece","TNBN","Total number of nurses","TOT","Total","2013","2013",17395,,
"GRC","Greece","TNBN","Total number of nurses","TOT","Total","2014","2014",17595,,
"GRC","Greece","TNBN","Total number of nurses","TOT","Total","2015","2015",17770,,
"LTU","Lithuania","TNBD","Total number of doctors","TOT","Total","2014","2014",14281,,
"LTU","Lithuania","TNBD","Total number of doctors","TOT","Total","2015","2015",14270,,
"LTU","Lithuania","TNBD","Total number of doctors","TOT","Total","2016","2016",14320,,
"LTU","Lithuania","TNBD","Total number of doctors","TOT","Total","2017","2017",14578,,
"LTU","Lithuania","TNBD","Total number of doctors","TOT","Total","2018","2018",14836,,
"LTU","Lithuania","TNBD","Total number of doctors","TOT","Total","2019","2019",13908,,
"LTU","Lithuania","TNBN","Total number of nurses","TOT","Total","2014","2014",28384,,
"LTU","Lithuania","TNBN","Total number of nurses","TOT","Total","2015","2015",28599,,
"LTU","Lithuania","TNBN","Total number of nurses","TOT","Total","2016","2016",27744,,
"LTU","Lithuania","TNBN","Total number of nurses","TOT","Total","2017","2017",26911,,
"LTU","Lithuania","TNBN","Total number of nurses","TOT","Total","2018","2018",26078,,
"LTU","Lithuania","TNBN","Total number of nurses","TOT","Total","2019","2019",26065,,
"LVA","Latvia","TNBD","Total number of doctors","TOT","Total","2004","2004",7298,,
"LVA","Latvia","TNBD","Total number of doctors","TOT","Total","2005","2005",7375,,
"LVA","Latvia","TNBD","Total number of doctors","TOT","Total","2006","2006",7510,,
"LVA","Latvia","TNBD","Total number of doctors","TOT","Total","2007","2007",7679,,
"LVA","Latvia","TNBD","Total number of doctors","TOT","Total","2008","2008",7848,,
"LVA","Latvia","TNBD","Total number of doctors","TOT","Total","2009","2009",7676,,
"LVA","Latvia","TNBD","Total number of doctors","TOT","Total","2010","2010",8350,,
"LVA","Latvia","TNBD","Total number of doctors","TOT","Total","2011","2011",7930,,
"LVA","Latvia","TNBD","Total number of doctors","TOT","Total","2012","2012",8077,,
"LVA","Latvia","TNBD","Total number of doctors","TOT","Total","2013","2013",8317,,
"LVA","Latvia","TNBD","Total number of doctors","TOT","Total","2014","2014",8275,,
"LVA","Latvia","TNBD","Total number of doctors","TOT","Total","2015","2015",8287,,
"LVA","Latvia","TNBD","Total number of doctors","TOT","Total","2016","2016",8076,,
"LVA","Latvia","TNBD","Total number of doctors","TOT","Total","2017","2017",8022,,
"LVA","Latvia","TNBD","Total number of doctors","TOT","Total","2018","2018",7848,,
"LVA","Latvia","TNBN","Total number of nurses","TOT","Total","2004","2004",8503,,
"LVA","Latvia","TNBN","Total number of nurses","TOT","Total","2005","2005",8991,,
"LVA","Latvia","TNBN","Total number of nurses","TOT","Total","2006","2006",9269,,
"LVA","Latvia","TNBN","Total number of nurses","TOT","Total","2007","2007",9567,,
"LVA","Latvia","TNBN","Total number of nurses","TOT","Total","2008","2008",10368,,
"LVA","Latvia","TNBN","Total number of nurses","TOT","Total","2009","2009",9485,,
"LVA","Latvia","TNBN","Total number of nurses","TOT","Total","2010","2010",9472,,
"LVA","Latvia","TNBN","Total number of nurses","TOT","Total","2011","2011",9032,,
"LVA","Latvia","TNBN","Total number of nurses","TOT","Total","2012","2012",9136,,
"LVA","Latvia","TNBN","Total number of nurses","TOT","Total","2013","2013",9199,,
"LVA","Latvia","TNBN","Total number of nurses","TOT","Total","2014","2014",9213,,
"LVA","Latvia","TNBN","Total number of nurses","TOT","Total","2015","2015",8777,,
"LVA","Latvia","TNBN","Total number of nurses","TOT","Total","2016","2016",8702,,
"LVA","Latvia","TNBN","Total number of nurses","TOT","Total","2017","2017",8460,,
"LVA","Latvia","TNBN","Total number of nurses","TOT","Total","2018","2018",8474,,
"PRT","Portugal","TNBD","Total number of doctors","TOT","Total","2017","2017",51937,,
